,NAME,sq_url,sq-3pt-catch,sq-3pt-dribble
1,Cade Cunningham,https://shotquality.com/individual-player/college_mens/2021/Oklahoma%20St./Cade%20Cunningham,1.33,1.06
2,Evan Mobley,https://shotquality.com/individual-player/college_mens/2021/USC/Evan%20Mobley,0.99,NA
3,Scottie Barnes,https://shotquality.com/individual-player/college_mens/2021/Florida%20St./Scottie%20Barnes,0.93,NA
4,Jalen Suggs,https://shotquality.com/individual-player/college_mens/2021/Gonzaga/Jalen%20Suggs,1.06,0.88
5,Franz Wagner,https://shotquality.com/individual-player/college_mens/2021/Michigan/Franz%20Wagner,0.94,0.89
6,Davion Mitchell,https://shotquality.com/individual-player/college_mens/2021/Baylor/Davion%20Mitchell,1.34,1.1
7,Ziaire Williams,https://shotquality.com/individual-player/college_mens/2021/Stanford/Ziaire%20Williams,0.84,0.67
8,Joshua Primo,https://shotquality.com/individual-player/college_mens/2021/Alabama/Joshua%20Primo,1.19,0.98
9,Chris Duarte,https://shotquality.com/individual-player/college_mens/2021/Oregon/Chris%20Duarte,1.28,1.02
10,Corey Kispert,https://shotquality.com/individual-player/college_mens/2021/Gonzaga/Corey%20Kispert,1.5,1.38
11,Trey Murphy III,https://shotquality.com/individual-player/college_mens/2021/Virginia/Trey%20Murphy%20III,1.36,1.12
12,Tre Mann,https://shotquality.com/individual-player/college_mens/2021/Florida/Tre%20Mann,1.07,0.9
13,Josh Christopher,https://shotquality.com/individual-player/college_mens/2021/Arizona%20St./Josh%20Christopher,1.06,0.83
14,Quentin Grimes,https://shotquality.com/individual-player/college_mens/2021/Houston/Quentin%20Grimes,1.14,1.11
15,Jeremiah Robinson-Earl,https://shotquality.com/individual-player/college_mens/2021/Villanova/Jeremiah%20Robinson-Earl,0.83,NA
16,Herbert Jones,https://shotquality.com/individual-player/college_mens/2021/Alabama/Herbert%20Jones,0.91,0.83
17,Ayo Dosunmu,https://shotquality.com/individual-player/college_mens/2021/Illinois/Ayo%20Dosunmu,1.07,0.94
18,Kessler Edwards,https://shotquality.com/individual-player/college_mens/2021/Pepperdine/Kessler%20Edwards,1.26,0.94
19,Brandon Boston Jr.,https://shotquality.com/individual-player/college_mens/2021/Kentucky/Brandon%20Boston%20Jr.,0.95,0.78
20,Aaron Wiggins,https://shotquality.com/individual-player/college_mens/2021/Maryland/Aaron%20Wiggins,0.99,0.9
21,Anthony Edwards,https://shotquality.com/individual-player/college_mens/2020/Georgia/Anthony%20Edwards,0.8,0.7
22,Patrick Williams,https://shotquality.com/individual-player/college_mens/2020/Florida%20St./Patrick%20Williams,0.95,NA
23,Isaac Okoro,https://shotquality.com/individual-player/college_mens/2020/Auburn/Isaac%20Okoro,0.86,0.95
24,Obi Toppin,https://shotquality.com/individual-player/college_mens/2020/Dayton/Obi%20Toppin,1.16,NA
25,Jalen Smith,https://shotquality.com/individual-player/college_mens/2020/Maryland/Jalen%20Smith,1.05,NA
26,Devin Vassell,https://shotquality.com/individual-player/college_mens/2020/Florida%20St./Devin%20Vassell,1.34,1.05
27,Tyrese Haliburton,https://shotquality.com/individual-player/college_mens/2020/Iowa%20St./Tyrese%20Haliburton,1.47,1.03
28,Kira Lewis Jr.,https://shotquality.com/individual-player/college_mens/2020/Alabama/Kira%20Lewis%20Jr.,1.16,0.96
29,Cole Anthony,https://shotquality.com/individual-player/college_mens/2020/North%20Carolina/Cole%20Anthony,1.04,0.85
30,Isaiah Stewart,https://shotquality.com/individual-player/college_mens/2020/Washington/Isaiah%20Stewart,0.88,NA
31,Josh Green,https://shotquality.com/individual-player/college_mens/2020/Arizona/Josh%20Green,1.14,NA
32,Saddiq Bey,https://shotquality.com/individual-player/college_mens/2020/Villanova/Saddiq%20Bey,1.64,1.16
33,Precious Achiuwa,https://shotquality.com/individual-player/college_mens/2020/Memphis/Precious%20Achiuwa,0.95,NA
34,Tyrese Maxey,https://shotquality.com/individual-player/college_mens/2020/Kentucky/Tyrese%20Maxey,0.83,0.84
35,Zeke Nnaji,https://shotquality.com/individual-player/college_mens/2020/Arizona/Zeke%20Nnaji,0.99,NA
36,Immanuel Quickley,https://shotquality.com/individual-player/college_mens/2020/Kentucky/Immanuel%20Quickley,1.4,1.56
37,Payton Pritchard,https://shotquality.com/individual-player/college_mens/2020/Oregon/Payton%20Pritchard,1.43,1.07
38,Jaden McDaniels,https://shotquality.com/individual-player/college_mens/2020/Washington/Jaden%20McDaniels,1.03,0.91
39,Malachi Flynn,https://shotquality.com/individual-player/college_mens/2020/San%20Diego%20St./Malachi%20Flynn,1.23,1.14
40,Desmond Bane,https://shotquality.com/individual-player/college_mens/2020/TCU/Desmond%20Bane,1.28,1.22
41,Saben Lee,https://shotquality.com/individual-player/college_mens/2020/Vanderbilt/Saben%20Lee,0.9,0.99
42,Jordan Nwora,https://shotquality.com/individual-player/college_mens/2020/Louisville/Jordan%20Nwora,1.34,1.09
43,CJ Elleby,https://shotquality.com/individual-player/college_mens/2020/Washington%20St./CJ%20Elleby,0.99,0.89
44,Nico Mannion,https://shotquality.com/individual-player/college_mens/2020/Arizona/Nico%20Mannion,1.05,0.94
45,Isaiah Joe,https://shotquality.com/individual-player/college_mens/2020/Arkansas/Isaiah%20Joe,0.92,0.97
46,Skylar Mays,https://shotquality.com/individual-player/college_mens/2020/LSU/Skylar%20Mays,1.26,1.21
47,Sam Merrill,https://shotquality.com/individual-player/college_mens/2020/Utah%20St./Sam%20Merrill,1.42,1.15
